[2026-08-27 00:40:44.040Z] [INFO   ] [MIL-ENGINE-START  ] 🚀 Iniciando Motor de Telemetria Nível Militar v4.0 (CASOSEX)
[2026-08-27 00:40:44.040Z] [INFO   ] [REDIS-INSPECT     ] Conectando ao Redis em 127.0.0.1:6396...
[2026-08-27 00:40:44.043Z] [SUCCESS] [REDIS-INSPECT     ] BOA Score: 0.9300 | Protocol: ACTIVE_v1.0.0
[2026-08-27 00:40:44.043Z] [SUCCESS] [REDIS-INSPECT     ] Commit Hash: df39b6fc1 | Stage Act: SELADO INGESTÃO FERRARI v2.0 · 9 novos / 1794 cached em 2475.0ms (Commit df39b6fc1)
[2026-08-27 00:40:44.043Z] [INFO   ] [QDRANT-INSPECT    ] Inspecionando cluster de vetores Qdrant (:6352)...
[2026-08-27 00:40:44.058Z] [SUCCESS] [QDRANT-INSPECT    ] casosex-inspiration (tag=app-jury): 34 pontos
[2026-08-27 00:40:44.058Z] [SUCCESS] [QDRANT-INSPECT    ] casosex-self (tag=v8_cockpit): 347 pontos
[2026-08-27 00:40:44.058Z] [INFO   ] [EMBED-INSPECT     ] Consultando telemetria do Embed Server mpnet 768d (:8081)...
[2026-08-27 00:40:44.058Z] [SUCCESS] [EMBED-INSPECT     ] Embed Status: unknown | Model: 768d
[2026-08-27 00:40:44.058Z] [INFO   ] [IPC-INSPECT       ] Verificando IPC Ringbuffer em /media/jeffer/RSXT/ast_ringbuffer.ipc...
[2026-08-27 00:40:44.058Z] [SUCCESS] [IPC-INSPECT       ] IPC Ringbuffer Found: True | Size: 42069 bytes
[2026-08-27 00:40:44.058Z] [INFO   ] [SPEC-HASHING      ] Iniciando Hashing Zero-Copy BLAKE2b dos Artefatos em docs/spec/mobile-app-first...
[2026-08-27 00:40:44.059Z] [TRACE  ] [SPEC-HASHING      ] 📄 andes-ui-tokens.yaml             -> a589d601ef95c842... (1875 bytes)
[2026-08-27 00:40:44.059Z] [TRACE  ] [SPEC-HASHING      ] 📄 assets-catalog.yaml              -> 000ca3e8866db58b... (16634 bytes)
[2026-08-27 00:40:44.059Z] [TRACE  ] [SPEC-HASHING      ] 📄 component-routes-metadata.yaml   -> eb292b0fb2742648... (6617 bytes)
[2026-08-27 00:40:44.059Z] [TRACE  ] [SPEC-HASHING      ] 📄 deep-links-routes.yaml           -> ff6a595ed6f334b9... (2577 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 design-tokens-full.json          -> 1f442302f5148b17... (360824 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 dimens-spacing.yaml              -> e88a3d02e287f51d... (3291 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 index.yaml                       -> 4f30040f0727ed14... (2184 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 interactive-states-actions.yaml  -> 9c2eb0655bab5423... (880 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 master-design-system.json        -> 65a638c3f7486db8... (77539 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 micro-copy-ptbr.yaml             -> 2a078cf3b0eb9ebc... (1123 bytes)
[2026-08-27 00:40:44.060Z] [TRACE  ] [SPEC-HASHING      ] 📄 motion-animations.yaml           -> c77346e24f62e757... (1259 bytes)
[2026-08-27 00:40:44.060Z] [INFO   ] [CODE-HASHING      ] Iniciando Hashing Zero-Copy BLAKE2b do Codebase em apps/v8-cockpit/src...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 App.tsx                                       -> ab5cdf1329f5191d...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 auth/ProfilePicker.tsx                        -> b2162a394254282a...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 auth/ScopeGuard.tsx                           -> b9b116478667e751...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 auth/userRules.ts                             -> 213e194386cf8612...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/MobileAppView.tsx                  -> 5b886ff7d1d838a1...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/ResponsiveViewportEngine.tsx       -> cdd67256c7202fae...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/auth/LoginModal.tsx                -> 2773dcb43890e2e1...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/auth/LoginView.tsx                 -> 95a1d376d5188d93...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/chat/TeamChatDrawer.tsx            -> ee8be9addf9763b6...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/dashboard/MobileIntelView.tsx      -> def28c31a0fb07e5...
[2026-08-27 00:40:44.061Z] [TRACE  ] [CODE-HASHING      ] 💻 components/dossier/HomologationForm.tsx       -> 6e1347390d6c424e...
[2026-08-27 00:40:44.062Z] [TRACE  ] [CODE-HASHING      ] 💻 components/dossier/MobileDossierView.tsx      -> c56e4618d793d45c...
[2026-08-27 00:40:44.062Z] [TRACE  ] [CODE-HASHING      ] 💻 components/kpi/KPIGrid.tsx                    -> 96fbdbec8cfcd35c...
[2026-08-27 00:40:44.062Z] [TRACE  ] [CODE-HASHING      ] 💻 components/layout/BottomGlassDock.tsx         -> 1817e901ad06d6ac...
